uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
464697	|	597797	|	Balaeniceps rex	|	species	|	ncbi:33584,gbif:2480347,irmng:11279235	|		|		|	
3605732	|	597796	|	Goliathia	|	genus	|	gbif:4966515	|		|		|	
6151112	|	3605732	|	Goliathia andrewsi	|	species	|	gbif:8455705	|		|		|	
4130613	|	597796	|	Paludiavis	|	genus	|	irmng:1155942	|		|	hidden,barren	|	
4130598	|	363022	|	unclassified Ciconiiformes	|	no rank - terminal	|	ncbi:791185	|		|	not_otu,was_container	|	
1057476	|	363022	|	Scopidae	|	family	|	ncbi:33579,gbif:9345,irmng:104919	|		|		|	
464703	|	1057476	|	Scopus	|	genus	|	ncbi:33580,gbif:2480344,irmng:1451473	|	Scopus (genus in Opisthokonta)	|		|	
464704	|	464703	|	Scopus umbretta	|	species	|	ncbi:33581,gbif:5229154,irmng:11160869	|		|		|	
4130599	|	363022	|	Ciconiiformes sp. BOLD:AAE7675	|	species	|	ncbi:816797	|		|	sibling_higher	|	
4947448	|	363022	|	Neocathartidae	|	no rank	|	gbif:3242001,irmng:100756	|		|	extinct,incertae_sedis	|	
6151148	|	4947448	|	Neocathartes	|	no rank	|	gbif:8204879	|		|	extinct_inherited,incertae_sedis	|	
7659125	|	6151148	|	Neocathartes grallator	|	no rank	|	gbif:9326646	|		|	extinct,incertae_sedis	|	
6373407	|	363022	|	Podicipitidae	|	family	|	gbif:4408443	|		|	barren	|	
3602686	|	363022	|	Osteodontornis	|	no rank	|	gbif:4848447,irmng:1107551	|		|	extinct,major_rank_conflict,incertae_sedis	|	
6154747	|	3602686	|	Osteodontornis orri	|	no rank	|	gbif:8782014	|		|	extinct,major_rank_conflict_inherited,incertae_sedis	|	
3600880	|	363022	|	Torotigidae	|	no rank	|	gbif:4848516,irmng:101613	|		|	barren,extinct,incertae_sedis	|	
7659126	|	363022	|	Palaelodidae	|	no rank	|	gbif:4848524,irmng:100815	|		|	barren,extinct,incertae_sedis	|	
3604855	|	363022	|	Plataleidae	|	family	|	gbif:4848532,irmng:115416	|		|	barren	|	
4130633	|	3604855	|	Borbonibis	|	genus	|	irmng:1138155	|		|	hidden,barren	|	
