TAXON_ORDER,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,ott_id,ott_name,ott_tax_sources,ott_match_type,H_M_name,H_M_match_type,Birdlife_name,Birdlife_match_type,IOC_name,IOC_match_type
143,chitin1,avibase-F900EE88,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),402446,Nothoprocta perdicaria,"ncbi:30464,gbif:2477581,irmng:10764045",canonical_match,Nothoprocta perdicaria,concepts_match,Nothoprocta perdicaria,concepts_match,Nothoprocta perdicaria,concepts_match
146,brutin1,avibase-4C8BCEC2,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),292464,Nothoprocta cinerascens,"ncbi:8807,gbif:2477593,irmng:10218991",canonical_match,Nothoprocta cinerascens,concepts_match,Nothoprocta cinerascens,concepts_match,Nothoprocta cinerascens,concepts_match
149,andtin1,avibase-7A66539A,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),3600805,Nothoprocta pentlandii,"gbif:2477584,irmng:10899285",canonical_match,Nothoprocta pentlandii,concepts_match,Nothoprocta pentlandii,concepts_match,Nothoprocta pentlandii,concepts_match
157,cubtin1,avibase-F68CA24D,Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),3600806,Nothoprocta curvirostris,"gbif:2477572,irmng:10855286",canonical_match,Nothoprocta curvirostris,concepts_match,Nothoprocta curvirostris,concepts_match,Nothoprocta curvirostris,concepts_match
161,whbnot1,avibase-458340C7,White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),3600801,Nothura boraquira,"gbif:2477599,irmng:10940145",canonical_match,Nothura boraquira,concepts_match,Nothura boraquira,concepts_match,Nothura boraquira,concepts_match
162,lesnot1,avibase-99D7964C,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),3600800,Nothura minor,"gbif:2477598,irmng:11303108",canonical_match,Nothura minor,concepts_match,Nothura minor,concepts_match,Nothura minor,concepts_match
163,darnot1,avibase-F7D16275,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),892275,Nothura darwinii,"ncbi:555278,gbif:2477610,irmng:10218992",canonical_match,Nothura darwinii,concepts_match,Nothura darwinii,concepts_match,Nothura darwinii,concepts_match
169,sponot1,avibase-03C3DDFB,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),892276,Nothura maculosa,"ncbi:555279,gbif:2477600,irmng:11110312",canonical_match,Nothura maculosa;Nothura chacoensis,parent_of,Nothura maculosa,concepts_match,Nothura maculosa,concepts_match
179,dwatin1,avibase-B62C4561,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),3600811,Taoniscus nanus,"gbif:2477457,irmng:10218993",canonical_match,Taoniscus nanus,concepts_match,Taoniscus nanus,concepts_match,Taoniscus nanus,concepts_match
180,elctin1,avibase-4E215E82,Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),292461,Eudromia elegans,"ncbi:8805,gbif:5228704,irmng:10761828",canonical_match,Eudromia elegans,concepts_match,Eudromia elegans,concepts_match,Eudromia elegans,concepts_match
191,quctin1,avibase-9337459C,Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),784522,Eudromia formosa,"ncbi:1109040,gbif:5228703,irmng:11097438",canonical_match,Eudromia formosa,concepts_match,Eudromia formosa,concepts_match,Eudromia formosa,concepts_match
194,puntin1,avibase-0A51B426,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),599078,Tinamotis pentlandii,"ncbi:555361,gbif:2477459,irmng:11008958",canonical_match,Tinamotis pentlandii,concepts_match,Tinamotis pentlandii,concepts_match,Tinamotis pentlandii,concepts_match
195,pattin1,avibase-EC451D91,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),599077,Tinamotis ingoufi,"ncbi:555360,gbif:2477460,irmng:10199778",canonical_match,Tinamotis ingoufi,concepts_match,Tinamotis ingoufi,concepts_match,Tinamotis ingoufi,concepts_match
197,soucas1,avibase-8B9D93D8,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),589152,Casuarius casuarius,"ncbi:8787,gbif:5231783,irmng:10594159",canonical_match,Casuarius casuarius,concepts_match,Casuarius casuarius,concepts_match,Casuarius casuarius,concepts_match
198,dwacas1,avibase-7751E0D1,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),402459,Casuarius bennetti,"ncbi:30463,gbif:5231784,irmng:10453655",canonical_match,Casuarius bennetti,concepts_match,Casuarius bennetti,concepts_match,Casuarius bennetti,concepts_match
199,norcas1,avibase-32E7303B,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),3600826,Casuarius unappendiculatus,"ncbi:1740858,gbif:5231785,irmng:11188162",canonical_match,Casuarius unappendiculatus,concepts_match,Casuarius unappendiculatus,concepts_match,Casuarius unappendiculatus,concepts_match
200,emu1,avibase-FD2456D5,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),829513,Dromaius novaehollandiae,"ncbi:8790,gbif:2495134,irmng:11282884",canonical_match,Dromaius novaehollandiae;Dromaius minor;Dromaius baudinianus,parent_of,Dromaius novaehollandiae;Dromaius minor;Dromaius baudinianus,parent_of,Dromaius novaehollandiae,concepts_match
205,sobkiw1,avibase-6BA55EF0,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),412972,Apteryx australis australis,ncbi:61298 ,sub_spp_fix_ejm,Apteryx australis,concepts_match,Apteryx australis,concepts_match,Apteryx australis,concepts_match
208,okbkiw1,avibase-D433BDAB,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),165688,Apteryx rowi,"ncbi:308060,gbif:2495141,irmng:10535241",canonical_match,Apteryx rowi,concepts_match,Apteryx rowi,concepts_match,Apteryx rowi,concepts_match
209,nibkiw1,avibase-DB55CB8C,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),748998,Apteryx australis mantelli,"ncbi:202946,gbif:2495144,irmng:10989871",synonym_match,Apteryx mantelli,concepts_match,Apteryx mantelli,concepts_match,Apteryx mantelli,concepts_match
